2018-06-22 18:04:04.067 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - 当前抽取增量版本号区间为：v0 - v2
2018-06-22 18:04:34.465 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
2018-06-22 18:04:38.368 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - 当前抽取增量版本号区间为：v0 - v2
2018-06-22 18:05:17.233 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 18:05:17.274 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 18:05:17.274 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 18:05:17.276 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 18:05:17.278 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622180517_patchInfo.xlsx
2018-06-22 21:26:10.152 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - fileFullName:d://app_20180622.txt
2018-06-22 21:26:10.156 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - 解析后清单数目: 2
2018-06-22 21:26:46.747 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - fileFullName:d://app_20180622.txt
2018-06-22 21:26:46.752 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - 解析后清单数目: 2
